,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,Other_Sales,Global_Sales
0,8861,NHL 09,PS2,2008.0,Sports,Electronic Arts,0.07,0.06,0.02,0.15
1,16363,Shirahana no Ori: Hiiro no Kakera 4 - Shiki no Uta,PSP,2013.0,Adventure,Idea Factory,0.0,0.0,0.0,0.01
2,3476,Gex: Enter the Gecko,PS,1998.0,Platform,BMG Interactive Entertainment,0.32,0.22,0.04,0.58
3,7432,Deus Ex: The Conspiracy,PS2,2002.0,Action,Eidos Interactive,0.1,0.08,0.03,0.21
4,501,Call of Duty: Finest Hour,PS2,2004.0,Shooter,Activision,1.51,1.12,0.24,2.89
5,9013,Jurassic: The Hunted,PS2,2009.0,Shooter,Activision,0.07,0.06,0.02,0.14
6,12809,GRID,DS,,Racing,Codemasters,0.04,0.01,0.0,0.06
7,5868,Super Robot Taisen OG: Original Generations Gaiden,PS2,2007.0,Strategy,Banpresto,0.0,0.0,0.0,0.3
8,1880,BeatMania,PS,1998.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,1.09
9,2976,Bakugan: Battle Brawlers,Wii,2009.0,Action,Activision,0.6,0.03,0.05,0.68
10,11319,Onimusha Tactics,GBA,2003.0,Strategy,Capcom,0.06,0.02,0.0,0.08
11,11984,Battlezone: Rise of the Black Dogs,N64,2000.0,Strategy,Crave Entertainment,0.06,0.01,0.0,0.07
12,8352,Sid Meier's Civilization IV,PC,2005.0,Strategy,Take-Two Interactive,0.02,0.12,0.03,0.17
13,410,Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,0.8,1.92,0.5,3.28
14,8280,Tamagotchi no Narikiri Challenge,DS,2010.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.17
15,11451,Kaidan Restaurant: Ura Menu 100-Sen,DS,2010.0,Misc,Namco Bandai Games,0.0,0.0,0.0,0.08
16,3885,The 3rd Birthday,PSP,2010.0,Role-Playing,Square Enix,0.13,0.07,0.05,0.51
17,5233,James Bond 007: Legends,PS3,2012.0,Shooter,Activision,0.11,0.17,0.07,0.36
18,13301,Handball 16,PS3,2015.0,Sports,Bigben Interactive,0.0,0.04,0.01,0.05
19,16448,Wade Hixton's Counter Punch,GBA,2004.0,Sports,"Destination Software, Inc",0.01,0.0,0.0,0.01
20,14302,Men of War,PC,2009.0,Strategy,505 Games,0.01,0.02,0.01,0.03
21,9760,Voodoo Vince,XB,2003.0,Platform,Microsoft Game Studios,0.09,0.03,0.0,0.12
22,6320,G-Force,PS2,2009.0,Action,Disney Interactive Studios,0.12,0.01,0.14,0.27
23,5510,Custom Robo,N64,,Role-Playing,Nintendo,0.0,0.0,0.04,0.33
24,1189,Donkey Kong Classics,NES,1988.0,Platform,Nintendo,0.59,0.14,0.02,1.56
25,14367,F1 2002,GC,2002.0,Racing,Electronic Arts,0.02,0.01,0.0,0.03
26,1436,Marvel vs. Capcom 3: Fate of Two Worlds,PS3,2011.0,Fighting,Capcom,0.81,0.29,0.14,1.35
27,8354,Space Griffon VF-9,PS,1995.0,Role-Playing,Panther Software,0.02,0.02,0.01,0.17
28,13041,Starry ? Sky: In Spring,PSP,2010.0,Misc,Asgard,0.0,0.0,0.0,0.05
29,12597,Sacred 3,X360,2014.0,Role-Playing,Deep Silver,0.03,0.03,0.01,0.06
30,11652,Family Game Night 4: The Game Show,X360,2011.0,Misc,Electronic Arts,0.07,0.0,0.01,0.08
31,5035,Final Fantasy Adventure,GB,1991.0,Role-Playing,SquareSoft,0.0,0.0,0.0,0.38
32,12384,Power Shovel,PS,2000.0,Action,JVC,0.03,0.02,0.0,0.06
33,9760,Voodoo Vince,XB,2003.0,Platform,Microsoft Game Studios,0.09,0.03,0.0,0.12
34,155,Destiny,PS4,2014.0,Shooter,Activision,2.49,2.05,0.96,5.65
35,4358,Yu-Gi-Oh! Destiny Board Traveler,GBA,2004.0,Misc,Konami Digital Entertainment,0.32,0.12,0.01,0.45
36,2440,Blazing Angels: Squadrons of WWII,Wii,2007.0,Simulation,Ubisoft,0.74,0.04,0.06,0.85
37,1268,Disney Sing It: Pop Hits,Wii,2009.0,Misc,Disney Interactive Studios,1.08,0.28,0.13,1.49
38,7816,Majin and the Forsaken Kingdom,X360,2010.0,Adventure,Namco Bandai Games,0.14,0.03,0.01,0.19
39,11406,Ninjabread Man,Wii,2007.0,Action,Popcorn Arcade,0.07,0.0,0.01,0.08
40,8636,Eve: The Lost One,SAT,1998.0,Adventure,Imagineer,0.0,0.0,0.0,0.16
41,3302,Time Crisis 3,PS2,2003.0,Shooter,Namco Bandai Games,0.3,0.23,0.08,0.61
42,16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,1.67,21.82
43,6544,Dungeons & Dragons Heroes,XB,2003.0,Role-Playing,Atari,0.19,0.06,0.01,0.26
44,6573,Drakan: The Ancients' Gates,PS2,2002.0,Adventure,Sony Computer Entertainment,0.13,0.1,0.03,0.26
45,2047,Ninja Gaiden II,X360,2008.0,Action,Tecmo Koei,0.65,0.22,0.1,1.01
46,16582,PGA European Tour,N64,2000.0,Sports,Infogrames,0.01,0.0,0.0,0.01
47,12821,Hail to the Chimp,X360,2008.0,Misc,Gamecock,0.05,0.0,0.0,0.06
48,12751,Tom Clancy's Rainbow Six: Critical Hour,XB,,Shooter,Unknown,0.04,0.01,0.0,0.06
49,13997,Music Maker: Rockstar,PS2,2009.0,Misc,Magix,0.02,0.01,0.0,0.04
50,6953,NASCAR 08,PS2,2007.0,Racing,Electronic Arts,0.12,0.09,0.03,0.24
51,10276,My Little Sister Can't Be This Cute Portable,PSP,2012.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.11
52,7517,Planet 51,Wii,2009.0,Action,Sega,0.17,0.02,0.02,0.2
53,14084,Hitman: Blood Money,PC,2006.0,Action,Eidos Interactive,0.0,0.03,0.01,0.04
54,7527,Mobile Suit Gundam: Crossfire,PS3,2006.0,Simulation,Namco Bandai Games,0.06,0.0,0.01,0.2
55,10311,Final Fantasy I & II,NES,1994.0,Role-Playing,Square,0.0,0.0,0.0,0.11
56,9350,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 1: CR Shinseiki Evangelion,PS2,2005.0,Misc,D3Publisher,0.0,0.0,0.0,0.13
57,9867,Medarot 4: Kabuto / Kuwagata Version,GB,2001.0,Role-Playing,Imagineer,0.0,0.0,0.0,0.12
58,9793,Yamakawa Shuppansha Kanshuu: Shousetsu Nihonshi B,DS,2007.0,Misc,Namco Bandai Games,0.0,0.0,0.0,0.12
59,1798,LEGO Star Wars: The Video Game,GBA,2005.0,Action,Eidos Interactive,0.82,0.3,0.02,1.14
60,10829,Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,2016.0,Action,Namco Bandai Games,0.0,0.0,0.0,0.09
61,12252,Wings of War,XB,2004.0,Simulation,Take-Two Interactive,0.05,0.01,0.0,0.06
62,4421,The Thing,PS2,2002.0,Adventure,Vivendi Games,0.22,0.17,0.06,0.44
63,4223,Dance Dance Revolution: Mario Mix,GC,2005.0,Misc,Nintendo,0.36,0.09,0.01,0.47
64,11020,Obscure: The Aftermath,PSP,2009.0,Action,Playlogic Game Factory,0.05,0.03,0.02,0.09
65,7866,Quake,N64,1998.0,Shooter,GT Interactive,0.15,0.04,0.0,0.19
66,1346,NCAA Football 2003,PS2,2002.0,Sports,Electronic Arts,1.16,0.08,0.19,1.44
67,945,"Hey You, Pikachu!",N64,1998.0,Simulation,Nintendo,0.83,0.06,0.0,1.83
68,10550,Creeper World 3: Arc Eternal,Wii,2009.0,Strategy,Namco Bandai Games,0.0,0.0,0.0,0.1
69,14682,Schlag den Raab,PC,2010.0,Misc,Namco Bandai Games,0.0,0.02,0.01,0.03
70,8251,Dungeon Siege III,PC,2011.0,Role-Playing,Square Enix,0.08,0.08,0.02,0.17
71,13383,Crazy Chicken: Atlantis Quest,DS,2007.0,Platform,Phenomedia,0.04,0.0,0.0,0.05
72,13158,The History Channel: Great Battles - Medieval,PS3,,Strategy,Slitherine Software,0.0,0.04,0.01,0.05
73,3758,"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare",SAT,1998.0,Adventure,Sega,0.0,0.0,0.0,0.53
74,8264,NHL 2K9,X360,2008.0,Sports,Take-Two Interactive,0.15,0.01,0.01,0.17
75,15647,NHL 2K3,GC,2002.0,Sports,Sega,0.01,0.0,0.0,0.02
76,1924,Bully: Scholarship Edition,X360,2008.0,Action,Take-Two Interactive,0.53,0.4,0.11,1.07
77,2963,Assassin's Creed IV: Black Flag,PC,2013.0,Action,Ubisoft,0.22,0.38,0.1,0.69
78,5116,Madden NFL 11,PSP,2010.0,Sports,Electronic Arts,0.35,0.0,0.03,0.37
79,9695,Fire ProWrestling S: 6Men Scramble,SAT,1996.0,Fighting,Human Entertainment,0.0,0.0,0.0,0.12
80,848,LEGO Marvel Super Heroes,PS3,2013.0,Action,Warner Bros. Interactive Entertainment,0.77,0.85,0.37,2.0
81,5709,NBA ShootOut,PS,1995.0,Sports,Sony Computer Entertainment,0.17,0.12,0.02,0.31
82,12591,Broken Sword: The Shadow of the Templars,GBA,2002.0,Adventure,BAM! Entertainment,0.04,0.02,0.0,0.06
83,1297,Disney Princess: Magical Jewels,DS,2007.0,Adventure,Disney Interactive Studios,1.15,0.2,0.12,1.47
84,7843,SpongeBob's Surf & Skate Roadtrip,X360,2011.0,Action,THQ,0.15,0.03,0.01,0.19
85,2513,Street Fighter V,PS4,2016.0,Fighting,Capcom,0.35,0.26,0.13,0.82
86,15291,Military History: Commander - Europe at War,PSP,2009.0,Strategy,Slitherine Software,0.0,0.01,0.01,0.02
